PEDIDO;FECHA EMBARQUE;FECHA ENTREGA;HORA ENTREGA;FECHA CANCELACION;PROVEEDOR;RFC;FACTURA;IMPORTE FACTURA;DEPARTAMENTO;LUGAR ENTREGA;
26171466;09/04/2018;;;13/04/2018;7374;PMA-940802-F12;;;391;90;
;;;;;;;;;;;
TIENDA;MODELO;COLOR;TALLA;SKU;MARCA;TIPOMERC;UNI.MEDIDA;EMPAQUES;CODBARRAS;TIPOCODBAR;CANT PEDIDA
10;LUNCH BAG-EF-40;v;v;41186593;LUNCH BAG;6 Contenedor Caja de Cartón;Piezas;1;813805002298;UP;12
10;WR-31;v;v;59881671;BERRIES;6 Contenedor Caja de Cartón;Piezas;1;19000083449;UP;12
10;SKI-0105;v;v;1037115564;SKITTLES TROPICAL;6 Contenedor Caja de Cartón;Piezas;1;7502226814445;EN;36
10;HE-01131;v;v;32273416;BARRA;6 Contenedor Caja de Cartón;Piezas;1;7501024511310;EN;12
10;HE-02378;v;v;54433484;BITES COOKIES & CR;6 Contenedor Caja de Cartón;Piezas;1;7501024523788;EN;12
10;NES-0201;v;v;1050304376;;6 Contenedor Caja de Cartón;Piezas;1;7501059239036;EN;6
10;NES-0504;v;v;1050304414;;6 Contenedor Caja de Cartón;Piezas;1;7501059238541;EN;12
11;LUNCH BAG-EF-40;v;v;41186593;LUNCH BAG;6 Contenedor Caja de Cartón;Piezas;1;813805002298;UP;12
11;WR-31;v;v;59881671;BERRIES;6 Contenedor Caja de Cartón;Piezas;1;19000083449;UP;12
11;WR-32;v;v;59886649;FIVE FLAVORS;6 Contenedor Caja de Cartón;Piezas;1;19000083425;UP;12
11;GOMA PANDITAS GRANEL;v;v;14149384;1051879585P1;6 Contenedor Caja de Cartón;Piezas;1;74323093674;UP;5
11;GOMA DULCIGOMA GRANE;v;v;14149414;1051879585P1;6 Contenedor Caja de Cartón;Piezas;1;7501000277940;EN;6
11;VIL-201;v;v;1058337737;;6 Contenedor Caja de Cartón;Piezas;1;2050084546459;IN;3
11;EFR-0343;v;v;1058360674;;6 Contenedor Caja de Cartón;Piezas;1;2050084565290;IN;6
11;GOMA LIFE SAVERS FIV;v;v;1006814146;1051881571P1;6 Contenedor Caja de Cartón;Piezas;1;2050056992925;IN;6
